model_clstr,fitness,precision,coverage
cluster0-medoid1,1.0,1.0,0.8
cluster1-medoid0,1.0,1.0,0.8
cluster1-medoid1,0.9999971321482848,1.0,0.8
cluster1-medoid2,0.999992590605692,0.8421965317919076,0.8
cluster2-medoid0,0.9999380505936412,0.7372549019607844,0.8
cluster2-medoid1,0.999988075870428,0.8174868609651218,0.8
cluster2-medoid2,0.999996785198954,0.8753162527171008,0.8
cluster2-medoid3,0.9999858555283668,0.8457047539616347,0.8
cluster3-medoid0,0.9999963867085372,1.0,0.8
cluster3-medoid1,0.9999929203978384,0.8681318681318682,0.8
cluster3-medoid2,0.9999416067344952,0.9508196721311476,0.8
cluster5-medoid0,0.9999871530556146,0.8640845070422535,0.8
cluster5-medoid1,0.9999360921476046,0.639240506329114,0.8
cluster5-medoid2,0.9999888510472468,0.6591865357643758,0.8
cluster6-medoid0,1.0,1.0,0.7
cluster6-medoid1,1.0,1.0,0.7
cluster6-medoid2,0.9999944444753084,0.9897172236503856,0.7
cluster6-medoid3,0.9999950621427888,0.9036468330134356,0.7
cluster4-medoid0,1.0,1.0,0.7
cluster4-medoid1,0.9999926471981196,0.9518652226233454,0.7
cluster4-medoid2,1.0,1.0,0.7
cluster4-medoid3,1.0,1.0,0.7
cluster0-medoid0,0.9999978276434276,1.0,0.7
cluster0-medoid1,1.0,1.0,0.7
cluster1-medoid0,1.0,1.0,0.7
cluster1-medoid1,1.0,1.0,0.7
cluster1-medoid2,0.9999993421091584,0.9583987441130298,0.7
cluster2-medoid0,0.9999393081124824,0.726457399103139,0.7
cluster2-medoid1,1.0,1.0,0.7
cluster2-medoid2,0.999997631918288,1.0,0.7
cluster2-medoid3,0.999999739810728,0.978085351787774,0.7
cluster3-medoid0,0.9999963867085372,1.0,0.7
cluster3-medoid1,0.9999936937277816,0.8536585365853658,0.7
cluster3-medoid2,0.9999417400423296,0.9509803921568628,0.7
cluster5-medoid0,0.999991444657624,0.8606833493743985,0.7
cluster5-medoid1,0.9999508777962376,0.6422764227642277,0.7
cluster5-medoid2,0.9999896553526472,0.8309572301425662,0.7
cluster6-medoid0,1.0,1.0,0.6
cluster6-medoid1,1.0,1.0,0.6
cluster6-medoid2,1.0,1.0,0.6
cluster6-medoid3,1.0,0.901928600738613,0.6
cluster4-medoid0,1.0,1.0,0.6
cluster4-medoid1,0.999999390778192,0.9527665317139,0.6
cluster4-medoid2,1.0,1.0,0.6
cluster4-medoid3,1.0,1.0,0.6
cluster0-medoid0,1.0,1.0,0.6
cluster0-medoid1,1.0,1.0,0.6
cluster1-medoid0,1.0,1.0,0.6
cluster1-medoid1,1.0,1.0,0.6
cluster1-medoid2,0.99999923291947,0.9888551165146908,0.6
cluster2-medoid0,0.9999393767050302,0.7238095238095238,0.6
cluster2-medoid1,1.0,1.0,0.6
cluster2-medoid2,1.0,1.0,0.6
cluster2-medoid3,1.0,0.916010498687664,0.6
cluster3-medoid0,1.0,1.0,0.6
cluster3-medoid1,0.9999935484217828,0.8461538461538461,0.6
cluster3-medoid2,0.9999410535623122,0.9523809523809524,0.6
cluster5-medoid0,0.999991652025689,0.8601880877742947,0.6
cluster5-medoid1,0.999957447080125,1.0,0.6
cluster5-medoid2,0.9999924844741762,0.6486988847583643,0.6
cluster6-medoid0,1.0,1.0,0.5
cluster6-medoid1,1.0,1.0,0.5
cluster6-medoid2,1.0,1.0,0.5
cluster6-medoid3,1.0,1.0,0.5
cluster4-medoid0,1.0,1.0,0.5
cluster4-medoid1,1.0,1.0,0.5
cluster4-medoid2,1.0,1.0,0.5
cluster4-medoid3,1.0,1.0,0.5
cluster0-medoid0,1.0,1.0,0.5
cluster0-medoid1,1.0,1.0,0.5
cluster1-medoid0,1.0,1.0,0.5
cluster1-medoid1,1.0,1.0,0.5
cluster1-medoid2,0.9999991525474,0.9730639730639732,0.5
cluster2-medoid0,0.999940001679953,0.694267515923567,0.5
cluster2-medoid1,1.0,1.0,0.5
cluster2-medoid2,1.0,1.0,0.5
cluster2-medoid3,1.0,0.9888682745825604,0.5
cluster3-medoid0,1.0,1.0,0.5
cluster3-medoid1,0.999995890433477,0.9111111111111112,0.5
cluster3-medoid2,0.9999405415047324,0.9538461538461538,0.5
cluster5-medoid0,1.0,1.0,0.5
cluster5-medoid1,0.999957447080125,1.0,0.5
cluster5-medoid2,0.9999979695668528,0.971326164874552,0.5
complete,0.9998589155611125,0.6961584875883737,1.0
complete,0.999944314849183,0.7149482512859711,0.9
complete,0.999996922545056,1.0,0.8
complete,0.999996922545056,1.0,0.7
complete,1.0,1.0,0.6
complete,1.0,1.0,0.5
