cluster_x,cluster_y,similarity,similarity_type
cluster2-medoid1,cluster0-medoid2,11.497435897435897,average_centroid
cluster2-medoid1,cluster2-medoid0,1.0,single
cluster2-medoid1,cluster2-medoid0,66.0,complete
cluster2-medoid1,cluster2-medoid0,25.717221545974187,average
cluster2-medoid1,cluster2-medoid0,13.0,centroid
cluster2-medoid1,cluster2-medoid0,20.40779220779221,average_centroid
cluster2-medoid1,cluster2-medoid2,1.0,single
cluster2-medoid1,cluster2-medoid2,57.0,complete
cluster2-medoid1,cluster2-medoid2,23.369570526862105,average
cluster2-medoid1,cluster2-medoid2,13.0,centroid
cluster2-medoid1,cluster2-medoid2,19.08373904576436,average_centroid
cluster2-medoid2,cluster1-medoid0,0.0,single
cluster2-medoid2,cluster1-medoid0,49.0,complete
cluster2-medoid2,cluster1-medoid0,18.100906493373174,average
cluster2-medoid2,cluster1-medoid0,3.0,centroid
cluster2-medoid2,cluster1-medoid0,12.537391304347826,average_centroid
cluster2-medoid2,cluster1-medoid1,14.0,single
cluster2-medoid2,cluster1-medoid1,79.0,complete
cluster2-medoid2,cluster1-medoid1,36.29131187889125,average
cluster2-medoid2,cluster1-medoid1,27.0,centroid
cluster2-medoid2,cluster1-medoid1,31.84318016046681,average_centroid
cluster2-medoid2,cluster1-medoid2,1.0,single
cluster2-medoid2,cluster1-medoid2,58.0,complete
cluster2-medoid2,cluster1-medoid2,24.88761650743873,average
cluster2-medoid2,cluster1-medoid2,14.0,centroid
cluster2-medoid2,cluster1-medoid2,20.305685967657798,average_centroid
cluster2-medoid2,cluster0-medoid0,6.0,single
cluster2-medoid2,cluster0-medoid0,80.0,complete
cluster2-medoid2,cluster0-medoid0,36.52305842640983,average
cluster2-medoid2,cluster0-medoid0,27.0,centroid
cluster2-medoid2,cluster0-medoid0,32.16546329723225,average_centroid
cluster2-medoid2,cluster0-medoid1,0.0,single
cluster2-medoid2,cluster0-medoid1,53.0,complete
cluster2-medoid2,cluster0-medoid1,18.362280221501962,average
cluster2-medoid2,cluster0-medoid1,3.0,centroid
cluster2-medoid2,cluster0-medoid1,12.662877737732188,average_centroid
cluster2-medoid2,cluster0-medoid2,0.0,single
cluster2-medoid2,cluster0-medoid2,61.0,complete
cluster2-medoid2,cluster0-medoid2,25.11492753873525,average
cluster2-medoid2,cluster0-medoid2,14.0,centroid
cluster2-medoid2,cluster0-medoid2,20.49101527403414,average_centroid
cluster2-medoid2,cluster2-medoid0,5.0,single
cluster2-medoid2,cluster2-medoid0,70.0,complete
cluster2-medoid2,cluster2-medoid0,35.24411989935456,average
cluster2-medoid2,cluster2-medoid0,26.0,centroid
cluster2-medoid2,cluster2-medoid0,30.324324324324323,average_centroid
cluster2-medoid2,cluster2-medoid1,1.0,single
cluster2-medoid2,cluster2-medoid1,57.0,complete
cluster2-medoid2,cluster2-medoid1,23.369570526862105,average
cluster2-medoid2,cluster2-medoid1,13.0,centroid
cluster2-medoid2,cluster2-medoid1,19.08373904576436,average_centroid
