model_clstr,fitness,precision,coverage
cluster4-medoid1,1.0,1.0,0.5
cluster4-medoid2,1.0,1.0,0.5
cluster4-medoid3,0.999881943377207,0.3027715889849389,0.5
cluster4-medoid4,1.0,1.0,0.5
cluster2-medoid0,0.999943503080212,0.6788136496485491,0.5
cluster2-medoid1,0.9998151972688102,0.2901778007940617,0.5
cluster2-medoid2,0.9997466369489236,0.2186508046040465,0.5
complete,0.9997526207041699,0.28212329504680234,1.0
complete,0.9997446733425002,0.33904958071661495,0.9
complete,0.9998209291119636,0.3733638240539464,0.8
complete,0.9999231861439812,0.8922099139591013,0.7
complete,0.9999344478800126,0.8918387287772239,0.6
complete,0.9999316172671224,0.8697885283700164,0.5
